canonical_configuration_id,row_count,unique_technical_signatures,unique_package_contexts,identity_status
CFG731_29087c573d8c896f,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_291a6feab0a4d36b,1,1,1,UNIQUE_ROW
CFG731_29521f988dd233e6,1,1,1,UNIQUE_ROW
CFG731_296392aa95929245,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_29d0984f488e9adc,1,1,1,UNIQUE_ROW
CFG731_2a1c7295f72ff6ac,1,1,1,UNIQUE_ROW
CFG731_2a62b8cc0f0cd468,1,1,1,UNIQUE_ROW
CFG731_2a6e9b57f90048ca,1,1,1,UNIQUE_ROW
CFG731_2a738780f0517f67,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_2a8793475d827bb6,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_2a989bd6dba74d9f,7,1,1,EXACT_DUPLICATE_ROWS
CFG731_2aca30183aab25a9,12,1,1,EXACT_DUPLICATE_ROWS
CFG731_2ae6ccd85f4fafbe,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_2b5aa7df11e558a1,1,1,1,UNIQUE_ROW
CFG731_2b6d09435d64e9e5,1,1,1,UNIQUE_ROW
CFG731_2ba3554cf8bf75c3,1,1,1,UNIQUE_ROW
CFG731_2bbfd30aeb5b5782,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_2be17a56b0589fd1,1,1,1,UNIQUE_ROW
CFG731_2c30adc3f721a104,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_2c93609b74717303,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_2cb814ee06486282,7,1,1,EXACT_DUPLICATE_ROWS
CFG731_2cc93d20b679415d,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_2d0a81ff4ec49480,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_2d4ebd2132481193,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_2d75c413dea7052f,1,1,1,UNIQUE_ROW
CFG731_2daad6eb4c93b72e,1,1,1,UNIQUE_ROW
CFG731_2db6c530f35d47b9,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_2de0285533e12490,1,1,1,UNIQUE_ROW
CFG731_2defd08a3d98d7b7,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_2e0e24cbfe1ca19b,1,1,1,UNIQUE_ROW
CFG731_2e3a239679b68afe,1,1,1,UNIQUE_ROW
CFG731_2e49817fa45fc350,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_2e57977cf2dd500a,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_2e5bd0d53757f625,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_2e60fd0380ec7150,1,1,1,UNIQUE_ROW
CFG731_2e6a2f2496db9434,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_2e9ef53f42218763,1,1,1,UNIQUE_ROW
CFG731_2eae9204301f61ab,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_2eea910b2403bc4c,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_2f5fc847ee056f67,1,1,1,UNIQUE_ROW
CFG731_2f9d539d4085d4b1,1,1,1,UNIQUE_ROW
CFG731_2fec34c8938ed8c5,1,1,1,UNIQUE_ROW
CFG731_307ce44cbcefe66b,1,1,1,UNIQUE_ROW
CFG731_30afbdc3788648cc,1,1,1,UNIQUE_ROW
CFG731_30c5366e624499a8,1,1,1,UNIQUE_ROW
CFG731_30ccf87da13edf1e,1,1,1,UNIQUE_ROW
CFG731_30d0a49acd35b928,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_30d0cd81d8628124,1,1,1,UNIQUE_ROW
CFG731_312bca0f41122f55,1,1,1,UNIQUE_ROW
