rfq_id,candidate_count,top_score,top_mandatory_coverage,top_preferred_coverage,top_overall_coverage,top_exact_count,top_contradiction_count,top_novalue_count,true_rank,mode,package_aware
RFQ731-004939,5000,26.144192729406882,0.7604955913353302,1.0,0.8666666666666667,13,1,1,21,V8_EXTRACTED,False
RFQ731-004940,5000,35.309422011767126,0.887840203094115,1.0,0.9333333333333333,14,0,1,304,V8_EXTRACTED,False
RFQ731-004941,5000,33.18713674226071,0.8787275995560476,1.0,0.9285714285714286,13,0,1,337,V8_EXTRACTED,False
RFQ731-004942,5000,36.19999180763088,1.0,1.0,1.0,14,0,0,1,V8_EXTRACTED,False
RFQ731-004943,5000,34.74959166651857,0.9264661399226998,1.0,0.9333333333333333,14,1,0,513,V8_EXTRACTED,False
RFQ731-004944,5000,35.80979224796285,1.0,1.0,1.0,13,0,0,2,V8_EXTRACTED,False
RFQ731-004945,5000,33.90153095382409,1.0,1.0,1.0,13,0,0,113,V8_EXTRACTED,False
RFQ731-004946,5000,31.57786793945948,0.8154134557130309,1.0,0.8823529411764706,15,1,1,1,V8_EXTRACTED,False
RFQ731-004947,5000,34.40930252205805,0.9312043093328772,1.0,0.9333333333333333,14,1,0,139,V8_EXTRACTED,False
RFQ731-004948,5000,40.77762765548197,1.0,1.0,1.0,15,0,0,9,V8_EXTRACTED,False
RFQ731-004949,5000,43.14194858592767,0.9651520458460447,1.0,0.9411764705882353,16,1,0,268,V8_EXTRACTED,False
RFQ731-004950,5000,36.278068647638534,0.9302007635659372,1.0,0.9285714285714286,13,1,0,13,V8_EXTRACTED,False
RFQ731-004951,5000,36.390970727125634,1.0,1.0,1.0,14,0,0,12,V8_EXTRACTED,False
RFQ731-004952,5000,34.82818806515042,0.8868263611866385,1.0,0.8571428571428571,12,2,0,1,V8_EXTRACTED,False
RFQ731-004953,5000,27.93931314768134,0.8488565405816253,1.0,0.9090909090909091,10,0,1,43,V8_EXTRACTED,False
RFQ731-004954,5000,19.865815317014604,0.7587645974621616,1.0,0.875,14,2,0,4,V8_EXTRACTED,False
RFQ731-004955,5000,24.34365681876742,0.8110362433128435,1.0,0.9230769230769231,12,1,0,32,V8_EXTRACTED,False
RFQ731-004956,5000,14.362953174327284,0.6488800216129329,1.0,0.8,12,2,1,120,V8_EXTRACTED,False
RFQ731-004957,5000,25.007092905621317,0.8898487977792328,1.0,0.9166666666666666,11,1,0,64,V8_EXTRACTED,False
RFQ731-004958,5000,18.767479308278435,0.7566521993472001,1.0,0.8571428571428571,12,2,0,3,V8_EXTRACTED,False
