characteristic_a,characteristic_b,package,package_sample_size,conditional_mutual_information,global_mutual_information
stromSchaltbar,binaerOpenColl_MP,"in {NOVALUE, 'F731TE'}",26,0.4964793754946899,0.24478295430256258
stromSchaltbar,binaerOpenColl_MP,"in {NOVALUE, 'G731CA'}",24,0.4591479170272448,0.24478295430256258
stromSchaltbar,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-LT'}",133,0.0,0.24478295430256258
stromSchaltbar,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-HT'}",133,0.0,0.24478295430256258
stromSchaltbar,binaerOpenColl_MP,"in {NOVALUE, 'F731PW'}",20,0.8,0.24478295430256258
stromSchaltbar,waveInjector,"in {NOVALUE, 'x731'}",696,0.02861349822248016,0.16003300296450496
stromSchaltbar,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.06741664593269636,0.08248559979535752
stromSchaltbar,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.013119956955712997,0.045314737092740476
stromSchaltbar,customUserFluid,"in {NOVALUE, 'x731'}",696,0.06741664593269636,0.152275389698052
stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'x731'}",696,2.3781138585450328,2.1146917705843946
stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'G731CA'}",24,0.0,2.1146917705843946
stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'G731ST-LT'}",133,1.5552296471946299,2.1146917705843946
stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'G731ST-HT'}",133,1.5552296471946299,2.1146917705843946
stromEingaenge,binaerDigitalOpenColl_MN,"in {NOVALUE, 'x731'}",696,0.0,0.045591450501973
stromEingaenge,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731CA'}",24,0.017220084695579008,0.045591450501973
stromEingaenge,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-LT'}",133,4.440892098500626e-16,0.045591450501973
