package_context,characteristic,observed_values,observed_value_count,rule_occurrences,source_rows
G731VG,binaerOptoRelay_BO,NOVALUE,1,4,4
G731VG,binaerOptoRelay_SO,NOVALUE,1,4,4
G731VG,binaerReedRelay_BR,NOVALUE,1,4,4
G731VG,binaerReedRelay_SR,NOVALUE,1,4,4
G731VG,carryingCase,NOVALUE,1,4,4
G731VG,certification,NN,1,4,4
G731VG,characteristic,VG,1,4,4
G731VG,customUserFluid,NOVALUE,1,4,4
G731VG,dataInterface,HS|MR|MT|NN,4,4,4
G731VG,devCategory,G,1,4,4
G731VG,dev_advMeterVerification,1,1,4,4
G731VG,dynamicGasMaster,1,1,4,4
G731VG,explosionApproval,F,1,4,4
G731VG,frequenz0_5khzNamur,NOVALUE,1,4,4
G731VG,frequenz0_5khz_FC,NOVALUE,1,4,4
G731VG,frequenz0_5khz_FO,NOVALUE,1,4,4
G731VG,frequenz5_15HzExia,NOVALUE,1,4,4
G731VG,hardwareAP,NOVALUE,1,4,4
G731VG,housing,AL|ST,2,4,4
G731VG,inclusiveManual,QI,1,4,4
G731VG,installationsart,stationaer,1,4,4
G731VG,intrinsicSafety,N,1,4,4
G731VG,marke,flexim,1,4,4
G731VG,measuringTape,NOVALUE,1,4,4
G731VG,numberOfChannels,2,1,4,4
G731VG,packageFixed_dev,G731VG|NOVALUE,2,4,4
G731VG,powerCable,NOVALUE,1,4,4
G731VG,powerSupply,1|4,2,4,4
G731VG,protectionArea,2,1,4,4
G731VG,spannung0_10v,NOVALUE,1,4,4
G731VG,spannung0_1v,NOVALUE,1,4,4
G731VG,spannungsEingaenge,NOVALUE,1,4,4
G731VG,steamApplication,NOVALUE,1,4,4
G731VG,stromAktiv,NOVALUE,1,4,4
G731VG,stromAktiv24,NOVALUE,1,4,4
