regime,model,feature,importance,rank,abs_importance
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__MP2,0.0,16,0.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__generation_method__REAL_OBSERVED,0.0,17,0.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__MP4,0.0,18,0.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__MN2,0.0,19,0.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,0.0,20,0.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,CATDIFF__evidence_level__VERY_STRONG,0.0,21,0.0
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__generation_method__DEPENDENCY_TWO_CHARACTERISTIC,9.383415265462832,1,9.383415265462832
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__generation_method__ONE_CHARACTERISTIC,9.042248304105357,2,9.042248304105357
PROVENANCE_AWARE,LOGISTIC_REGRESSION,DIFF__num_changed_characteristics,8.89987853445677,3,8.89987853445677
PROVENANCE_AWARE,LOGISTIC_REGRESSION,DIFF__source_frequency,5.926775238654722,4,5.926775238654722
PROVENANCE_AWARE,LOGISTIC_REGRESSION,DIFF__evidence_score,4.72686364202665,5,4.72686364202665
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__evidence_level__LOW,2.096504658730478,6,2.096504658730478
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__evidence_level__STRONG,1.8861854406252705,7,1.8861854406252705
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__evidence_level__MODERATE,0.6226710642869676,8,0.6226710642869676
PROVENANCE_AWARE,LOGISTIC_REGRESSION,DIFF__nearest_real_distance,0.4644369418961724,9,0.4644369418961724
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__generation_method__TWO_CHARACTERISTIC,0.4123518461817712,10,0.4123518461817712
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__evidence_level__VERY_STRONG,0.341166961357487,11,0.341166961357487
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP4,0.2251091036743236,12,0.2251091036743236
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_stromSchaltbar__CS2,0.2221286119786404,13,0.2221286119786404
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_stromSchaltbar__CS1,0.2004922308503465,14,0.2004922308503465
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP2,0.1536760122714293,15,0.1536760122714293
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__MN2,0.1529863588068595,16,0.1529863588068595
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,0.1475082929469829,17,0.1475082929469829
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__NOVALUE,0.1362449989606969,18,0.1362449989606969
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_customUserFluid__1,0.1051720389662225,19,0.1051720389662225
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_customUserFluid__NOVALUE,0.1051720389662225,20,0.1051720389662225
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__evidence_level__OBSERVED,0.0711848848242842,21,0.0711848848242842
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__record_type__DERIVED,0.0711848848242842,22,0.0711848848242842
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__generation_method__REAL_OBSERVED,0.0711848848242842,23,0.0711848848242842
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__record_type__OBSERVED,0.0711848848242842,24,0.0711848848242842
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_dynamicGasMaster__NOVALUE,0.0660744387983873,25,0.0660744387983873
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_dynamicGasMaster__1,0.0660744387983873,26,0.0660744387983873
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP1,0.0648119075578002,27,0.0648119075578002
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_temperaturEingaenge__NOVALUE,0.0553129959611615,28,0.0553129959611615
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_temperaturEingaenge__TT1,0.0553129959611615,29,0.0553129959611615
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_dev_advMeterVerification__1,0.0485031107582744,30,0.0485031107582744
