source_id,target_id,relation,provenance,source,source_row,characteristic
RULE_07f5fa1362dd29c3,VAL_479efaebf64c1e73,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,protectionArea
RULE_07f5fa1362dd29c3,VAL_4aa6177c23e4da3c,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,intrinsicSafety
RULE_07f5fa1362dd29c3,VAL_14b7a2fc061f4506,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,certification
RULE_07f5fa1362dd29c3,VAL_bbb8d08f2c39b7d8,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,dataInterface
CHAR_e6b825a8f00631c9,VAL_7cbd0f7feb9a6b1a,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_07f5fa1362dd29c3,VAL_7cbd0f7feb9a6b1a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,stromSchaltbar
RULE_07f5fa1362dd29c3,VAL_b5806f5cd68764d8,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,stromEingaenge
CHAR_1c2479fe5d4ca3d1,VAL_84a1499ae74bed81,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_07f5fa1362dd29c3,VAL_84a1499ae74bed81,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,temperaturEingaenge
RULE_07f5fa1362dd29c3,VAL_50b6289cde98dc49,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,steamApplication
RULE_07f5fa1362dd29c3,VAL_c5ff5c75f35a3e2d,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,waveInjector
RULE_07f5fa1362dd29c3,VAL_2676bd8840266aad,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,tagPlate
RULE_07f5fa1362dd29c3,VAL_386cbad7dcf5b735,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,inclusiveManual
RULE_07f5fa1362dd29c3,VAL_d723eea6e08b5602,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,powerCable
RULE_07f5fa1362dd29c3,VAL_7af1c2f312e7c10e,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,carryingCase
RULE_07f5fa1362dd29c3,VAL_aa1b68c72a179664,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,measuringTape
RULE_07f5fa1362dd29c3,VAL_b47009407cab993d,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,dev_advMeterVerification
RULE_07f5fa1362dd29c3,VAL_5713f5cb5b195172,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,dynamicGasMaster
RULE_07f5fa1362dd29c3,VAL_a86d399e188281bb,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,2.0,customUserFluid
PRODUCT_731,RULE_f6eb96a8b815dede,HAS_RULE_ROW,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,
RULE_f6eb96a8b815dede,VAL_e960a3e12805b44f,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,OrgUnitAreaOfDocument
RULE_f6eb96a8b815dede,VAL_3c1402392fdf9063,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,marke
RULE_f6eb96a8b815dede,VAL_72d9bd3f30e49bd0,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,packageFixed_dev
RULE_f6eb96a8b815dede,FAMILY_8177acd68c91a9c4,RULE_APPLIES_TO_FAMILY,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,
RULE_f6eb96a8b815dede,VAL_d9a9ed7deb43abb4,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,installationsart
RULE_f6eb96a8b815dede,VAL_a18211ef12f115d6,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,devCategory
RULE_f6eb96a8b815dede,VAL_d63a7323926a1147,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,type
RULE_f6eb96a8b815dede,VAL_d00a50e0a7516c7a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,characteristic
RULE_f6eb96a8b815dede,VAL_faa9d8774782e75a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,housing
RULE_f6eb96a8b815dede,VAL_6852a7db852ad36a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,powerSupply
RULE_f6eb96a8b815dede,VAL_18f7bcd5389f8b4d,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,numberOfChannels
RULE_f6eb96a8b815dede,VAL_43d4ee4dc051670b,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,explosionApproval
RULE_f6eb96a8b815dede,VAL_479efaebf64c1e73,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,protectionArea
RULE_f6eb96a8b815dede,VAL_4aa6177c23e4da3c,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,intrinsicSafety
RULE_f6eb96a8b815dede,VAL_14b7a2fc061f4506,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,certification
RULE_f6eb96a8b815dede,VAL_bbb8d08f2c39b7d8,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,dataInterface
RULE_f6eb96a8b815dede,VAL_7cbd0f7feb9a6b1a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,3.0,stromSchaltbar
CHAR_ea20af37a43b49c2,VAL_f2e29e78c68067ad,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
