regime,model,transformed_feature,importance,absolute_importance,importance_type
PROVENANCE_AWARE,LOGISTIC_REGRESSION,generation_method_REAL_OBSERVED,-0.26330649633006564,0.26330649633006564,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,record_type_OBSERVED,-0.26330649633005937,0.26330649633005937,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_binaerOpenColl_MP_MP4,-0.24938266915440785,0.24938266915440785,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,evidence_level_LOW,-0.24266411188202705,0.24266411188202705,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,num_changed_characteristics,-0.2419111329341243,0.2419111329341243,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_dev_advMeterVerification_NOVALUE,0.2357224560442842,0.2357224560442842,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_explosionApproval_A,-0.2288071256123777,0.2288071256123777,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_temperaturEingaenge_NOVALUE,-0.22459933251397726,0.22459933251397726,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_explosionApproval_F,0.2098842862869306,0.2098842862869306,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_devCategory_F,0.17714309947815127,0.17714309947815127,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_binaerOpenColl_MP_MP2,0.1746460909619635,0.1746460909619635,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_binaerDigitalOpenColl_MN_MN4,0.16924852638202467,0.16924852638202467,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_protectionArea_2,-0.16190038245747942,0.16190038245747942,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_characteristic_CA,0.15060961887324112,0.15060961887324112,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_explosionApproval_K,-0.14297754313203132,0.14297754313203132,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,record_type_DERIVED,0.14288297555840593,0.14288297555840593,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_characteristic_VG,0.13939614235548775,0.13939614235548775,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_binaerOpenColl_MP_MP1,-0.09853576399373193,0.09853576399373193,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,generation_method_DEPENDENCY_TWO_CHARACTERISTIC,-0.09307714658348133,0.09307714658348133,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_stromEingaenge_IS2,0.08320342265689176,0.08320342265689176,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_stromSchaltbar_CS2,0.05629469306398746,0.05629469306398746,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_binaerOpenColl_MP_NOVALUE,0.05284882141451677,0.05284882141451677,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_explosionApproval_N,0.04147686168582523,0.04147686168582523,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_protectionArea_N,0.041476861685821716,0.041476861685821716,coefficient
PROVENANCE_AWARE,RANDOM_FOREST,source_frequency,0.10036608546652918,0.10036608546652918,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,evidence_score,0.06597902342501734,0.06597902342501734,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,evidence_level_OBSERVED,0.04965666955378444,0.04965666955378444,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,record_type_DERIVED,0.047694503129684075,0.047694503129684075,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_stromEingaenge_NOVALUE,0.04435471277470961,0.04435471277470961,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,nearest_real_distance,0.04421955387763333,0.04421955387763333,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,num_changed_characteristics,0.04287389045141422,0.04287389045141422,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_stromSchaltbar_NOVALUE,0.04232922457227837,0.04232922457227837,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,record_type_OBSERVED,0.041531702068488885,0.041531702068488885,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_stromEingaenge_IS1,0.0392902641839491,0.0392902641839491,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,generation_method_REAL_OBSERVED,0.036162214346900985,0.036162214346900985,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_powerSupply,0.031202818504544764,0.031202818504544764,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_dataInterface_NN,0.027856146362132683,0.027856146362132683,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_stromSchaltbar_CS1,0.02490736260079201,0.02490736260079201,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_dataInterface_HS,0.020137516622393728,0.020137516622393728,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,config_temperaturEingaenge_NOVALUE,0.018748140483498935,0.018748140483498935,feature_importance
PROVENANCE_AWARE,RANDOM_FOREST,mandatory_total,0.017433233556899044,0.017433233556899044,feature_importance
