regime,model,base_feature,transformed_feature_count,total_absolute_importance,mean_absolute_importance,max_absolute_importance,importance_rank
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,record_type_DERIVED,1,0.0265415488262232,0.0265415488262232,0.0265415488262232,14
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,record_type_OBSERVED,1,0.0250929938614986,0.0250929938614986,0.0250929938614986,15
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,low_change_score,1,0.0249803034341889,0.0249803034341889,0.0249803034341889,16
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_powerSupply,1,0.0247934610052217,0.0247934610052217,0.0247934610052217,17
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_dataInterface_NN,1,0.0229468960983521,0.0229468960983521,0.0229468960983521,18
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,real_proximity_score,1,0.0223915207091735,0.0223915207091735,0.0223915207091735,19
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_stromSchaltbar_CS1,1,0.0203604843747237,0.0203604843747237,0.0203604843747237,20
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_dataInterface_HS,1,0.0185673779928781,0.0185673779928781,0.0185673779928781,21
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_temperaturEingaenge_NOVALUE,1,0.0184709288289254,0.0184709288289254,0.0184709288289254,22
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_customUserFluid_NOVALUE,1,0.015820935245993,0.015820935245993,0.015820935245993,23
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_customUserFluid_1,1,0.0144616077181319,0.0144616077181319,0.0144616077181319,24
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,mandatory_total,1,0.012163951467804,0.012163951467804,0.012163951467804,25
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,mandatory_satisfied,1,0.0119207201652744,0.0119207201652744,0.0119207201652744,26
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_temperaturEingaenge_TT1,1,0.0119182951388899,0.0119182951388899,0.0119182951388899,27
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_certification_NN,1,0.0118237950203747,0.0118237950203747,0.0118237950203747,28
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,preferred_satisfied,1,0.0112801040320947,0.0112801040320947,0.0112801040320947,29
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,preferred_total,1,0.0109866616662588,0.0109866616662588,0.0109866616662588,30
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_stromSchaltbar_CS2,1,0.0105876079018149,0.0105876079018149,0.0105876079018149,31
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_certification_MN,1,0.0103634842862489,0.0103634842862489,0.0103634842862489,32
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,generation_method_TWO_CHARACTERISTIC,1,0.0086026088458586,0.0086026088458586,0.0086026088458586,33
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_waveInjector_NOVALUE,1,0.0083742487706166,0.0083742487706166,0.0083742487706166,34
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_dataInterface_PA,1,0.0079380049427372,0.0079380049427372,0.0079380049427372,35
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_waveInjector_FWI,1,0.0066895619052934,0.0066895619052934,0.0066895619052934,36
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_binaerOpenColl_MP_MP4,1,0.0062181117791364,0.0062181117791364,0.0062181117791364,37
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_devCategory_G,1,0.0057924220599551,0.0057924220599551,0.0057924220599551,38
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,config_characteristic_GP,1,0.0049049508663493,0.0049049508663493,0.0049049508663493,39
