regime,model,feature,importance,rank
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__evidence_score,4.721763294150296,5
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__low_change_score,4.029297543787653,6
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__evidence_level__LOW,2.0299218267581782,7
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__evidence_level__STRONG,1.8672589890102245,8
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__source_frequency_score,0.8122843567718441,9
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__nearest_real_distance,0.6993929301832852,10
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__evidence_level__MODERATE,0.5829958399420011,11
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__generation_method__TWO_CHARACTERISTIC,0.42033300219405617,12
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__real_proximity_score,0.3496964650916426,13
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__generation_method__REAL_OBSERVED,0.25105197478927316,14
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__observed_configuration_score,0.25105197478927316,15
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__record_type__DERIVED,0.25105197478927316,16
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__record_type__OBSERVED,0.25105197478927316,17
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__evidence_level__OBSERVED,0.25105197478927316,18
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP4,0.16990242671801928,19
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__evidence_level__VERY_STRONG,0.1692810274047889,20
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_stromSchaltbar__CS1,0.1555210101398611,21
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_stromSchaltbar__CS2,0.14048917405183642,22
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP2,0.1387229570596202,23
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__MN2,0.1380188182198236,24
