replicate,top1,mrr,ndcg5
337,0.9344262295081968,0.9672131147540983,0.9757986723653417
338,0.9316939890710383,0.9655054644808743,0.9745167137746923
339,0.9316939890710383,0.9658469945355191,0.9747902837138974
340,0.9262295081967213,0.9627732240437158,0.9724999364718042
341,0.9344262295081968,0.9672131147540983,0.9757986723653415
342,0.912568306010929,0.9559426229508197,0.9674579932145836
343,0.9316939890710383,0.9655054644808743,0.9745167137746923
344,0.9371584699453552,0.967896174863388,0.9762599211383755
345,0.9289617486338798,0.9637978142076503,0.9732347551840433
346,0.9344262295081968,0.9672131147540983,0.9757986723653415
347,0.9398907103825137,0.969603825136612,0.9775418797290246
348,0.9453551912568307,0.9723360655737705,0.979558657031913
349,0.930327868852459,0.9648224043715847,0.9740125194489704
350,0.9494535519125683,0.9743852459016393,0.9810712400090791
351,0.9562841530054644,0.9774590163934426,0.9833186416984845
352,0.9316939890710383,0.9658469945355191,0.9747902837138974
353,0.9357923497267759,0.9675546448087432,0.9760292967518585
354,0.9357923497267759,0.9675546448087432,0.9760292967518585
355,0.9439890710382514,0.9719945355191257,0.9793280326453959
356,0.9275956284153005,0.9634562841530054,0.9730041307975262
357,0.9467213114754098,0.9730191256830601,0.9800628513576349
358,0.9262295081967213,0.9631147540983607,0.972773506411009
359,0.9371584699453552,0.967896174863388,0.9762599211383757
360,0.9371584699453552,0.9685792349726776,0.9768070610167857
361,0.9316939890710383,0.9658469945355191,0.9747902837138974
362,0.9412568306010929,0.9706284153005464,0.9783196439939517
363,0.9193989071038251,0.9596994535519126,0.970252534782399
364,0.9480874316939891,0.9737021857923497,0.980567045683357
365,0.924863387978142,0.9620901639344263,0.9719957421460822
366,0.9439890710382514,0.9713114754098361,0.9787808927669859
367,0.9480874316939891,0.9740437158469946,0.9808406156225621
368,0.9316939890710383,0.9651639344262295,0.9742431438354873
369,0.9371584699453552,0.967896174863388,0.9762599211383757
370,0.9289617486338798,0.9641393442622951,0.9735083251232481
371,0.9344262295081968,0.9668715846994536,0.9755251024261365
372,0.9480874316939891,0.9737021857923497,0.980567045683357
373,0.9330601092896175,0.9655054644808743,0.9744737682220044
374,0.9412568306010929,0.9706284153005464,0.9783196439939517
375,0.9262295081967213,0.9627732240437158,0.9724999364718041
376,0.9426229508196722,0.9713114754098361,0.9788238383196738
377,0.9398907103825137,0.9692622950819673,0.9772683097898197
378,0.9180327868852459,0.9586748633879781,0.969474770517472
379,0.9207650273224044,0.9603825136612022,0.9707567291081209
380,0.9439890710382514,0.9709699453551912,0.9785073228277809
381,0.9330601092896175,0.9658469945355191,0.9747473381612095
382,0.924863387978142,0.9614071038251366,0.971448602267672
383,0.9316939890710383,0.9655054644808743,0.9745167137746923
384,0.9357923497267759,0.9675546448087432,0.9760292967518585
385,0.9385245901639344,0.9689207650273224,0.9770376854033027
386,0.9344262295081968,0.9672131147540983,0.9757986723653415
387,0.930327868852459,0.9644808743169399,0.9737389495097653
388,0.9207650273224044,0.9593579234972678,0.969936019290506
389,0.9344262295081968,0.9668715846994536,0.9755251024261365
390,0.9275956284153005,0.9637978142076503,0.9732777007367313
391,0.9344262295081968,0.9668715846994536,0.9755251024261365
392,0.9371584699453552,0.9685792349726776,0.9768070610167855
393,0.9412568306010929,0.9706284153005464,0.9783196439939517
394,0.9467213114754098,0.9730191256830601,0.9800628513576349
395,0.9385245901639344,0.9689207650273224,0.9770376854033027
396,0.9371584699453552,0.9685792349726776,0.9768070610167857
397,0.9289617486338798,0.9641393442622951,0.9735083251232483
398,0.9289617486338798,0.9637978142076503,0.9732347551840433
399,0.9344262295081968,0.9672131147540983,0.9757986723653415
400,0.9357923497267759,0.9675546448087432,0.9760292967518587
401,0.9344262295081968,0.9665300546448088,0.9752515324869314
402,0.9398907103825137,0.9692622950819673,0.9772683097898197
403,0.9316939890710383,0.9655054644808743,0.9745167137746923
404,0.9385245901639344,0.9692622950819673,0.9773112553425078
405,0.9412568306010929,0.9702868852459017,0.9780460740547468
406,0.9153005464480874,0.9576502732240437,0.9687399518052329
407,0.9398907103825137,0.9689207650273224,0.9769947398506147
408,0.9316939890710383,0.9658469945355191,0.9747902837138974
409,0.930327868852459,0.9648224043715847,0.9740125194489703
410,0.9221311475409836,0.9593579234972678,0.969893073737818
